video_url,,Answer.category.label,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2207.493.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2212.507.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2221.012.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2222.435.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2247.542.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2256.521.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2264.043.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2268.075.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2275.021.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2283.56.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2285.321.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2288.032.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2295.994.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2404.046.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2413.703.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2424.85.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2430.068.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2435.117.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2447.179.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2451.245.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2456.395.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2464.188.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2474.421.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2485.534.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2490.075.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2494.073.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2500.375.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2504.441.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2513.352.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2516.91.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2519.011.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2525.143.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2528.057.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2531.276.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2535.206.mp4,1,Wipe Transition,starts in the middle of wipe,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2537.883.mp4,1,Wipe Transition,starts in the middle of wipe,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2545.134.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2551.877.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2555.638.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2560.788.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2563.634.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2564.379.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2566.853.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2581.456.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2585.387.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2592.807.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2598.567.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2610.833.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2619.879.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2623.573.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2630.281.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2635.872.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2747.007.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2756.528.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2763.237.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2769.946.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2795.765.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2803.456.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2814.027.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2818.94.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2833.408.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2838.152.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2843.675.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2848.215.mp4,1,Wipe Transition,ad transition,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2877.761.mp4,1,Wipe Transition,ad transition,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2883.351.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2890.501.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2893.448.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2896.125.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2931.77.mp4,1,Wipe Transition,also has dissolve,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2943.392.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2952.709.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2956.267.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2963.992.mp4,3,Neither,,,,
